"","year","gdp_pc_k","gdp_pc_c"
"1",1960,769.734104481774,142.309414695174
"2",1961,769.715250206541,146.418816728779
"3",1962,782.265573718925,147.722150943802
"4",1963,815.678614451515,158.102868674825
"5",1964,842.653373309656,164.10286660566
"6",1965,864.794467587894,177.780757219339
"7",1966,850.051005923771,182.391222590788
"8",1967,841.220788345933,180.115083896133
"9",1968,863.408203847029,186.928686821534
"10",1969,887.286919608306,200.775852204056
"11",1970,914.721574815845,208.671086018955
"12",1971,949.444404750226,220.587239048992
"13",1972,987.357284036627,247.684052383453
"14",1973,1011.6265232135,310.250224091477
"15",1974,1093.13017134515,393.936432337588
"16",1975,1133.33718824581,452.828299784439
"17",1976,1263.60228494397,497.557408302088
"18",1977,1228.84529694508,528.368237972515
"19",1978,1183.69035417697,574.365634529915
"20",1979,1213.78210777147,684.187136479558
"21",1980,1207.57968511189,816.831527080567
"22",1981,1195.62400568439,770.104921970267
"23",1982,1165.0958626977,724.805250970615
"24",1983,1156.79070513328,692.993322944458
"25",1984,1175.68103030894,666.568137095855
"26",1985,1189.353897213,634.926749536161
"27",1986,1163.03700029956,691.511557121345
"28",1987,1143.76573784717,773.029541037952
"29",1988,1158.32726306812,804.651439855469
"30",1989,1187.49998397987,811.526002716557
"31",1990,1203.52194475075,1018.80036356238
"32",1991,1206.11505596045,1035.14361655167
"33",1992,1180.43536321571,1037.57035245398
"34",1993,1172.80614475124,974.935846019098
"35",1994,1171.37627536802,931.595370153253
"36",1995,1186.56921271475,1000.27262284371
"37",1996,1224.9730571624,1039.68804963226
"38",1997,1286.61726477832,1058.97242007469
"39",1998,1320.02274057726,1009.55788672735
"40",1999,1443.73178698241,1040.20929757774
"41",2000,1470.84057676282,1053.81262396708
"42",2001,1506.48064919091,1017.60391791624
"43",2002,1536.42815941769,1024.99817827128
"44",2003,1575.42990961996,1220.707218771
"45",2004,1672.40105407157,1503.20318031566
"46",2005,1744.62174768663,1744.62174768663
"47",2006,1760.5168088012,1897.51036665887
"48",2007,1877.74726316888,2183.25129607262
"49",2008,1953.10304203496,2594.74417471168
"50",2009,1935.39384055772,2174.7435237246
"51",2010,1839.59562605433,2283.93564285064
"52",2011,1901.77642785735,2650.6648487927
"53",2012,1939.63095495173,2626.11231654095
"54",2013,NA,NA
