"","country","population","pm1998","pm1999","pm2000","pm2001","pm2002","pm2003","pm2004","pm2005","pm2006","pm2007","pm2008","pm2009","pm2010","pm2011","pm2012","pm2013","pm2014","pm2015","pm2016","pm2017","pm2018","pm2019","pm2020","pm2021"
"1","Afghanistan",37461801,11.2485365853659,11.0910975609756,12.2350304878049,14.4144207317073,14.0222865853659,14.2968597560976,13.0113719512195,14.4783841463415,15.0030182926829,14.3275,15.2142987804878,15.2237804878049,15.5175,18.4763719512195,16.5179878048781,15.3321341463415,15.7782317073171,16.4682317073171,16.6807926829268,15.5923475609756,14.3016158536585,16.8857317073171,17.1427134146341,17.2609756097561
"2","Akrotiri and Dhekelia",24378,11.58,11.515,13.825,12.78,11.06,11.535,10.825,12.025,11.975,12.2,12.085,12.46,10.745,16.11,17.68,12.07,11.38,11.915,10.92,11.33,10.095,9.84,10.855,11.385
"3","Åland",27514,6.78769230769231,7.21461538461539,6.03615384615385,5.40153846153846,5.85153846153846,5.89923076923077,6.06307692307692,6.33461538461538,7.23615384615385,5.69230769230769,5.89538461538462,5.58076923076923,5.95307692307692,5.10692307692308,4.73769230769231,4.81615384615385,6.09384615384615,4.21230769230769,4.08384615384615,3.47076923076923,4.54153846153846,4.27923076923077,4.06076923076923,4.65461538461538
"4","Albania",3082234,16.8654054054054,15.6372972972973,17.3627027027027,16.527027027027,18.4891891891892,20.1975675675676,15.9824324324324,17.5308108108108,19.7362162162162,18.4383783783784,15.7964864864865,14.8632432432432,12.0548648648649,20.9737837837838,18.1613513513513,14.882972972973,13.2654054054054,16.472972972973,13.9232432432432,15.0810810810811,14.6910810810811,13.6891891891892,13.3502702702703,13.4897297297297
"5","Algeria",43480294,6.05954122340426,5.46398936170213,5.864375,5.94019946808511,5.94150930851064,7.4326329787234,5.37527925531915,6.82025930851064,6.81316489361702,6.57946808510638,5.58509308510638,6.32105053191489,5.26085106382979,6.69996010638298,6.48508643617021,6.290625,5.08059840425532,6.62434175531915,5.30164228723404,6.25267287234043,5.69613696808511,5.77238696808511,5.50317154255319,5.87188829787234
"6","American Samoa",43160,0.7675,0.925625,1.18125,1.099375,1.25,1.295625,1.0225,1.50125,1.310625,1.314375,1.095,1.296875,1.09,0.9925,1.151875,1.124375,1.24625,1.46875,1.2775,1.299375,1.409375,1.365,1.12625,1.06
"7","Andorra",85635,8.77857142857143,8.43428571428571,9.01857142857143,9.52857142857143,9.75571428571429,10.5342857142857,9.59,10.0657142857143,9.27,9.35,8.46428571428571,8.78142857142857,9.40714285714286,8.97,7.88285714285714,7.51285714285714,6.64285714285714,7.39857142857143,6.81428571428571,6.76428571428571,7.12142857142857,6.01714285714286,6.59428571428571,7.40857142857143
"8","Angola",33430596,19.6723926380368,16.7741104294479,18.8963803680982,23.8337423312883,21.7031901840491,20.6810429447853,21.1355214723926,23.2768711656442,19.2790797546012,22.9657668711656,24.0594478527607,22.1383435582822,26.2788957055215,23.4611656441718,23.4748466257669,23.7844785276074,20.7081595092025,22.6055214723926,21.9389570552147,19.9789570552147,20.5811656441718,22.1326993865031,18.7900613496933,18.7898159509202
"9","Anguilla",16664,2.68066666666667,3.59333333333333,2.95533333333333,3.23,2.332,2.62466666666667,2.468,3.41533333333333,3.064,2.62666666666667,2.41533333333333,2.58066666666667,4.2,2.44,3.086,2.06533333333333,2.07333333333333,2.31666666666667,2.62,2.45933333333333,2.124,2.064,2.112,2.262
"10","Antigua and Barbuda",93902,2.64142857142857,3.22142857142857,3.01714285714286,3.05285714285714,2.43428571428571,2.80285714285714,2.76714285714286,3.36714285714286,3.14142857142857,2.61142857142857,2.64285714285714,2.99142857142857,4.05857142857143,2.80714285714286,3.01857142857143,2.21142857142857,2.27,2.48571428571429,2.78857142857143,2.47857142857143,2.46,2.37428571428571,2.08714285714286,2.40857142857143
